student_id,course,status,term,grade_received
S00027,English I,completed,summer_previous,B
S00027,Biology,completed,summer_previous,B
S00027,Geometry,completed,fall_previous,B
S00027,English II,completed,fall_previous,B
S00027,World History,completed,spring_previous,B
S00027,Algebra II,completed,spring_previous,B
S00027,English III,completed,summer_previous,C
S00027,Chemistry,completed,fall_previous,D
S00027,U.S. History,completed,summer_previous,C
S00028,Algebra I,completed,fall_previous,A
S00028,English I,completed,spring_previous,C
S00028,Biology,completed,fall_previous,B
S00028,Geometry,completed,summer_previous,C
S00028,English II,completed,fall_previous,B
S00028,World History,completed,spring_previous,C
S00028,Algebra II,completed,summer_previous,B
S00028,English III,completed,summer_previous,D
S00028,Chemistry,completed,spring_previous,B
S00028,U.S. History,completed,spring_previous,B
S00029,Algebra I,completed,summer_previous,C
S00029,English I,completed,fall_previous,B
S00029,Biology,completed,summer_previous,A
S00029,Geometry,completed,summer_previous,D
S00029,English II,completed,fall_previous,B
S00029,World History,completed,summer_previous,D
S00030,Algebra I,completed,spring_previous,C
S00030,English I,completed,spring_previous,D
S00030,Biology,completed,spring_previous,C
S00032,Algebra I,completed,fall_previous,C
S00032,English I,completed,summer_previous,D
S00032,Biology,completed,fall_previous,A
S00032,Geometry,completed,spring_previous,A
S00032,English II,completed,fall_previous,B
S00032,World History,completed,fall_previous,B
S00033,Algebra I,completed,fall_previous,C
S00033,English I,completed,spring_previous,C
S00033,Biology,completed,spring_previous,D
S00034,Algebra I,completed,spring_previous,B
S00034,English I,failed_or_missing,spring_previous,F
S00034,Biology,completed,summer_previous,D
S00034,Geometry,completed,summer_previous,B
S00034,English II,completed,summer_previous,D
S00034,World History,completed,spring_previous,D
S00034,Algebra II,completed,summer_previous,D
S00034,English III,completed,summer_previous,D
S00034,Chemistry,completed,summer_previous,A
S00034,U.S. History,completed,spring_previous,D
S00035,Algebra I,completed,fall_previous,C
S00035,English I,completed,summer_previous,A
S00035,Biology,completed,summer_previous,C
S00035,Geometry,completed,spring_previous,C
S00035,English II,completed,summer_previous,D
S00035,World History,failed_or_missing,spring_previous,F
S00035,Algebra II,completed,spring_previous,C
S00035,English III,completed,spring_previous,D
S00035,Chemistry,completed,spring_previous,B
S00035,U.S. History,completed,fall_previous,B
S00036,Algebra I,completed,spring_previous,B
S00036,English I,failed_or_missing,fall_previous,F
S00036,Biology,completed,spring_previous,B
S00036,Geometry,completed,fall_previous,B
S00036,English II,failed_or_missing,fall_previous,F
S00036,World History,completed,summer_previous,D
S00039,Algebra I,completed,spring_previous,B
S00039,English I,failed_or_missing,fall_previous,F
S00039,Biology,completed,summer_previous,C
S00039,Geometry,completed,spring_previous,B
S00039,English II,failed_or_missing,fall_previous,F
S00039,World History,completed,fall_previous,B
S00040,Algebra I,completed,spring_previous,D
S00040,English I,completed,summer_previous,C
S00040,Biology,completed,spring_previous,B
S00042,Algebra I,completed,fall_previous,A
S00042,English I,failed_or_missing,spring_previous,F
S00042,Biology,completed,fall_previous,C
S00045,Algebra I,completed,spring_previous,C
S00045,English I,completed,summer_previous,D
S00045,Biology,completed,spring_previous,C
S00045,Geometry,completed,fall_previous,C
S00045,English II,completed,fall_previous,C
S00045,World History,failed_or_missing,spring_previous,F
S00045,Algebra II,completed,fall_previous,D
S00045,English III,completed,summer_previous,D
S00045,Chemistry,completed,fall_previous,B
S00045,U.S. History,completed,summer_previous,D
S00047,Algebra I,completed,spring_previous,C
S00047,English I,completed,summer_previous,C
S00047,Biology,completed,spring_previous,C
S00047,Geometry,completed,summer_previous,A
S00047,English II,completed,fall_previous,B
S00047,World History,completed,spring_previous,D
S00049,Algebra I,completed,fall_previous,C
S00049,English I,completed,summer_previous,B
S00049,Biology,completed,fall_previous,D
S00050,Algebra I,completed,spring_previous,D
S00050,English I,completed,summer_previous,C
S00050,Biology,completed,spring_previous,C
S00051,Algebra I,completed,summer_previous,B
S00051,English I,completed,summer_previous,C
S00051,Biology,completed,spring_previous,D
S00051,Geometry,completed,summer_previous,C
S00051,English II,completed,spring_previous,C
S00051,World History,completed,spring_previous,C
S00052,Algebra I,completed,summer_previous,A
S00052,English I,failed_or_missing,spring_previous,F
S00052,Biology,completed,summer_previous,A
S00053,Algebra I,completed,spring_previous,D
S00053,English I,completed,summer_previous,A
S00053,Biology,completed,summer_previous,A
S00053,Geometry,completed,spring_previous,A
S00053,English II,completed,summer_previous,A
S00053,World History,completed,spring_previous,C
S00055,Algebra I,failed_or_missing,fall_previous,F
S00055,English I,completed,fall_previous,C
S00055,Biology,completed,fall_previous,A
S00055,Geometry,completed,spring_previous,A
S00055,English II,completed,summer_previous,C
S00055,World History,completed,spring_previous,B
S00055,Algebra II,completed,spring_previous,D
S00055,English III,completed,spring_previous,D
S00055,Chemistry,completed,summer_previous,D
S00055,U.S. History,completed,spring_previous,D
S00056,Algebra I,completed,fall_previous,D
S00056,English I,completed,fall_previous,B
S00056,Biology,completed,fall_previous,A
S00056,Geometry,completed,summer_previous,B
S00056,English II,completed,spring_previous,A
S00056,World History,completed,summer_previous,C
S00056,Algebra II,completed,summer_previous,B
S00056,English III,completed,summer_previous,D
S00056,Chemistry,completed,spring_previous,C
S00056,U.S. History,completed,summer_previous,C
S00057,Algebra I,failed_or_missing,fall_previous,F
S00057,English I,completed,spring_previous,C
S00057,Biology,completed,fall_previous,B
S00057,Geometry,completed,fall_previous,D
S00057,English II,failed_or_missing,spring_previous,F
S00057,World History,completed,spring_previous,C
S00057,Algebra II,completed,fall_previous,B
S00057,English III,completed,summer_previous,A
S00057,Chemistry,completed,summer_previous,A
S00057,U.S. History,completed,summer_previous,C
S00058,Algebra I,failed_or_missing,fall_previous,F
S00058,English I,completed,summer_previous,B
S00058,Biology,completed,spring_previous,A
S00058,Geometry,completed,summer_previous,D
S00058,English II,failed_or_missing,spring_previous,F
S00058,World History,completed,spring_previous,C
S00058,Algebra II,completed,fall_previous,B
S00058,English III,completed,spring_previous,C
S00058,Chemistry,completed,spring_previous,A
S00058,U.S. History,completed,fall_previous,C
S00059,Algebra I,completed,fall_previous,C
S00059,English I,completed,fall_previous,B
S00059,Biology,completed,summer_previous,A
S00060,Algebra I,completed,spring_previous,D
S00060,English I,completed,fall_previous,B
S00060,Biology,completed,summer_previous,C
S00060,Geometry,completed,summer_previous,B
S00060,English II,completed,summer_previous,B
S00060,World History,completed,summer_previous,C
S00061,Algebra I,completed,spring_previous,C
S00061,English I,completed,summer_previous,C
S00061,Biology,completed,spring_previous,B
S00061,Geometry,completed,fall_previous,B
S00061,English II,completed,fall_previous,D
S00061,World History,completed,summer_previous,C
S00062,Algebra I,completed,summer_previous,A
S00062,English I,completed,summer_previous,A
S00062,Biology,completed,spring_previous,C
S00062,Geometry,completed,fall_previous,C
S00062,English II,failed_or_missing,fall_previous,F
S00062,World History,completed,summer_previous,B
S00062,Algebra II,completed,fall_previous,B
S00062,English III,completed,spring_previous,B
S00062,Chemistry,completed,summer_previous,C
S00062,U.S. History,completed,summer_previous,D
S00063,Algebra I,completed,summer_previous,C
S00063,English I,completed,fall_previous,B
S00063,Biology,completed,summer_previous,C
S00066,Algebra I,completed,summer_previous,C
S00066,English I,completed,summer_previous,B
S00066,Biology,completed,fall_previous,A
S00067,Algebra I,completed,summer_previous,C
S00067,English I,completed,fall_previous,D
S00067,Biology,completed,spring_previous,C
S00068,Algebra I,completed,summer_previous,B
S00068,English I,completed,fall_previous,D
S00068,Biology,completed,summer_previous,C
S00069,Algebra I,completed,summer_previous,C
S00069,English I,completed,fall_previous,A
S00069,Biology,completed,fall_previous,D
S00069,Geometry,completed,summer_previous,C
S00069,English II,completed,summer_previous,D
S00069,World History,completed,fall_previous,B
S00069,Algebra II,completed,summer_previous,B
S00069,English III,completed,fall_previous,A
S00069,Chemistry,completed,fall_previous,D
S00069,U.S. History,completed,spring_previous,B
S00070,Algebra I,completed,summer_previous,C
S00070,English I,completed,spring_previous,D
S00070,Biology,completed,summer_previous,B
S00070,Geometry,failed_or_missing,spring_previous,F
S00070,English II,completed,fall_previous,C
S00070,World History,completed,fall_previous,C
S00071,Algebra I,completed,spring_previous,D
S00071,English I,completed,spring_previous,B
S00071,Biology,completed,summer_previous,A
S00071,Geometry,completed,summer_previous,C
S00071,English II,completed,spring_previous,C
S00071,World History,failed_or_missing,spring_previous,F
S00071,Algebra II,completed,spring_previous,B
S00071,English III,failed_or_missing,fall_previous,F
S00071,Chemistry,completed,spring_previous,C
S00071,U.S. History,completed,summer_previous,B
S00072,Algebra I,completed,summer_previous,C
S00072,English I,completed,fall_previous,B
S00072,Biology,completed,summer_previous,B
S00073,Algebra I,completed,spring_previous,C
S00073,English I,completed,spring_previous,D
S00073,Biology,completed,fall_previous,A
S00074,Algebra I,completed,spring_previous,D
S00074,English I,completed,summer_previous,C
S00074,Biology,failed_or_missing,fall_previous,F
S00074,Geometry,completed,summer_previous,D
S00074,English II,completed,spring_previous,C
S00074,World History,completed,fall_previous,C
S00074,Algebra II,failed_or_missing,spring_previous,F
S00074,English III,completed,fall_previous,D
S00074,Chemistry,completed,summer_previous,A
S00074,U.S. History,completed,summer_previous,D
S00076,Algebra I,completed,spring_previous,B
S00076,English I,completed,spring_previous,D
S00076,Biology,completed,fall_previous,A
S00076,Geometry,completed,fall_previous,B
S00076,English II,completed,spring_previous,B
S00076,World History,completed,fall_previous,B
S00076,Algebra II,completed,spring_previous,A
S00076,English III,completed,fall_previous,B
S00076,Chemistry,completed,spring_previous,C
S00076,U.S. History,failed_or_missing,spring_previous,F
S00077,Algebra I,completed,summer_previous,B
S00077,English I,completed,fall_previous,C
S00077,Biology,completed,fall_previous,A
S00079,Algebra I,failed_or_missing,spring_previous,F
S00079,English I,completed,summer_previous,A
S00079,Biology,completed,fall_previous,B
S00079,Geometry,completed,summer_previous,C
S00079,English II,completed,fall_previous,D
S00079,World History,completed,summer_previous,D
S00079,Algebra II,failed_or_missing,spring_previous,F
S00079,English III,failed_or_missing,spring_previous,F
S00079,Chemistry,completed,summer_previous,D
S00079,U.S. History,completed,summer_previous,D
S00080,Algebra I,completed,fall_previous,B
S00080,English I,completed,summer_previous,C
S00080,Biology,completed,spring_previous,C
S00081,Algebra I,completed,summer_previous,A
S00081,English I,completed,spring_previous,C
S00081,Biology,completed,summer_previous,B
S00081,Geometry,completed,summer_previous,A
S00081,English II,completed,fall_previous,A
S00081,World History,completed,summer_previous,C
S00081,Algebra II,completed,spring_previous,B
S00081,English III,completed,summer_previous,B
S00081,Chemistry,completed,spring_previous,B
S00081,U.S. History,completed,spring_previous,D
S00082,Algebra I,completed,summer_previous,B
S00082,English I,completed,spring_previous,A
S00082,Biology,failed_or_missing,fall_previous,F
S00082,Geometry,completed,spring_previous,D
S00082,English II,completed,fall_previous,A
S00082,World History,completed,summer_previous,D
S00082,Algebra II,completed,summer_previous,C
S00082,English III,failed_or_missing,fall_previous,F
S00082,Chemistry,completed,fall_previous,C
S00082,U.S. History,completed,fall_previous,C
S00083,Algebra I,completed,spring_previous,B
S00083,English I,completed,spring_previous,C
S00083,Biology,completed,summer_previous,A
S00084,Algebra I,completed,fall_previous,D
S00084,English I,completed,fall_previous,D
S00084,Biology,completed,summer_previous,C
S00084,Geometry,failed_or_missing,spring_previous,F
S00084,English II,completed,fall_previous,C
S00084,World History,completed,summer_previous,B
S00085,Algebra I,completed,fall_previous,D
S00085,English I,completed,summer_previous,D
S00085,Biology,completed,fall_previous,D
S00087,Algebra I,completed,fall_previous,C
S00087,English I,completed,fall_previous,C
S00087,Biology,completed,spring_previous,C
S00088,Algebra I,completed,spring_previous,D
S00088,English I,completed,spring_previous,B
S00088,Biology,completed,spring_previous,B
S00088,Geometry,completed,fall_previous,C
S00088,English II,completed,fall_previous,D
S00088,World History,completed,fall_previous,C
S00088,Algebra II,completed,spring_previous,D
S00088,English III,failed_or_missing,fall_previous,F
S00088,Chemistry,completed,fall_previous,D
S00088,U.S. History,completed,summer_previous,A
S00089,Algebra I,completed,summer_previous,B
S00089,English I,completed,summer_previous,D
S00089,Biology,completed,summer_previous,B
S00089,Geometry,completed,summer_previous,D
S00089,English II,completed,spring_previous,D
S00089,World History,completed,spring_previous,A
S00090,Algebra I,completed,fall_previous,C
S00090,English I,completed,summer_previous,D
S00090,Biology,completed,summer_previous,C
S00093,Algebra I,completed,fall_previous,A
S00093,English I,completed,summer_previous,C
S00093,Biology,completed,fall_previous,C
S00093,Geometry,completed,spring_previous,C
S00093,English II,completed,spring_previous,C
S00093,World History,completed,fall_previous,C
S00093,Algebra II,completed,summer_previous,C
S00093,English III,completed,summer_previous,A
S00093,Chemistry,failed_or_missing,fall_previous,F
S00093,U.S. History,completed,fall_previous,A
S00094,Algebra I,failed_or_missing,spring_previous,F
S00094,English I,completed,summer_previous,D
S00094,Biology,completed,summer_previous,A
S00094,Geometry,completed,spring_previous,C
S00094,English II,completed,summer_previous,D
S00094,World History,completed,spring_previous,A
S00094,Algebra II,completed,spring_previous,C
S00094,English III,completed,spring_previous,A
S00094,Chemistry,completed,spring_previous,B
S00094,U.S. History,completed,summer_previous,B
S00095,Algebra I,completed,fall_previous,B
S00095,English I,completed,summer_previous,B
S00095,Biology,completed,summer_previous,B
S00095,Geometry,completed,fall_previous,B
S00095,English II,failed_or_missing,spring_previous,F
S00095,World History,completed,fall_previous,D
S00098,Algebra I,completed,fall_previous,B
S00098,English I,completed,fall_previous,B
S00098,Biology,completed,fall_previous,B
S00098,Geometry,completed,summer_previous,A
S00098,English II,completed,summer_previous,B
S00098,World History,completed,fall_previous,B
S00098,Algebra II,completed,spring_previous,B
S00098,English III,completed,spring_previous,D
S00098,Chemistry,failed_or_missing,fall_previous,F
S00098,U.S. History,completed,spring_previous,A
S00100,Algebra I,completed,fall_previous,C
S00100,English I,completed,summer_previous,B
S00100,Biology,completed,spring_previous,A
S00100,Geometry,completed,fall_previous,D
S00100,English II,completed,fall_previous,D
S00100,World History,failed_or_missing,spring_previous,F
S00100,Algebra II,completed,summer_previous,C
S00100,English III,failed_or_missing,spring_previous,F
S00100,Chemistry,completed,fall_previous,C
S00100,U.S. History,failed_or_missing,spring_previous,F
S00101,Algebra I,failed_or_missing,spring_previous,F
S00101,English I,completed,fall_previous,D
S00101,Biology,completed,fall_previous,C
S00102,Algebra I,completed,fall_previous,B
S00102,English I,completed,spring_previous,A
S00102,Biology,failed_or_missing,fall_previous,F
S00102,Geometry,completed,spring_previous,C
S00102,English II,completed,fall_previous,D
S00102,World History,completed,fall_previous,A
S00102,Algebra II,completed,fall_previous,B
S00102,English III,completed,spring_previous,C
S00102,Chemistry,completed,spring_previous,C
S00102,U.S. History,completed,summer_previous,C
S00107,Algebra I,completed,summer_previous,C
S00107,English I,failed_or_missing,fall_previous,F
S00107,Biology,completed,summer_previous,C
S00107,Geometry,completed,fall_previous,C
S00107,English II,completed,summer_previous,D
S00107,World History,completed,spring_previous,B
S00109,Algebra I,completed,summer_previous,C
S00109,English I,failed_or_missing,spring_previous,F
S00109,Biology,failed_or_missing,fall_previous,F
S00109,Geometry,completed,spring_previous,D
S00109,English II,completed,fall_previous,D
S00109,World History,completed,fall_previous,D
S00109,Algebra II,completed,spring_previous,A
S00109,English III,completed,fall_previous,B
S00109,Chemistry,completed,summer_previous,B
S00109,U.S. History,completed,summer_previous,C
S00110,Algebra I,completed,spring_previous,B
S00110,English I,completed,spring_previous,D
S00110,Biology,completed,fall_previous,B
S00110,Geometry,completed,fall_previous,A
S00110,English II,completed,fall_previous,C
S00110,World History,completed,summer_previous,C
S00110,Algebra II,failed_or_missing,spring_previous,F
S00110,English III,completed,summer_previous,D
S00110,Chemistry,completed,spring_previous,C
S00110,U.S. History,completed,spring_previous,B
S00111,Algebra I,completed,summer_previous,D
S00111,English I,completed,spring_previous,A
S00111,Biology,completed,fall_previous,A
S00112,Algebra I,completed,spring_previous,D
S00112,English I,completed,fall_previous,B
S00112,Biology,completed,spring_previous,D
S00113,Algebra I,completed,spring_previous,C
S00113,English I,completed,summer_previous,C
S00113,Biology,completed,spring_previous,C
S00113,Geometry,completed,spring_previous,B
S00113,English II,completed,spring_previous,C
S00113,World History,completed,summer_previous,B
S00115,Algebra I,completed,fall_previous,A
S00115,English I,completed,fall_previous,C
S00115,Biology,failed_or_missing,fall_previous,F
S00116,Algebra I,completed,spring_previous,C
S00116,English I,completed,summer_previous,A
S00116,Biology,completed,fall_previous,A
S00116,Geometry,completed,spring_previous,B
S00116,English II,completed,summer_previous,C
S00116,World History,completed,fall_previous,B
S00116,Algebra II,failed_or_missing,spring_previous,F
S00116,English III,completed,summer_previous,A
S00116,Chemistry,completed,fall_previous,B
S00116,U.S. History,failed_or_missing,fall_previous,F
S00117,Algebra I,completed,summer_previous,B
S00117,English I,completed,fall_previous,C
S00117,Biology,completed,spring_previous,A
S00117,Geometry,completed,summer_previous,D
S00117,English II,completed,fall_previous,B
S00117,World History,completed,fall_previous,D
S00119,Algebra I,completed,spring_previous,C
S00119,English I,completed,spring_previous,C
S00119,Biology,completed,summer_previous,B
S00120,Algebra I,completed,fall_previous,D
S00120,English I,completed,spring_previous,C
S00120,Biology,completed,summer_previous,B
S00121,Algebra I,completed,spring_previous,C
S00121,English I,completed,spring_previous,B
S00121,Biology,completed,spring_previous,C
S00122,Algebra I,completed,summer_previous,D
S00122,English I,completed,spring_previous,B
S00122,Biology,completed,summer_previous,C
S00122,Geometry,completed,summer_previous,C
S00122,English II,completed,spring_previous,B
S00122,World History,completed,fall_previous,C
S00122,Algebra II,completed,fall_previous,B
S00122,English III,completed,summer_previous,B
S00122,Chemistry,completed,spring_previous,B
S00122,U.S. History,failed_or_missing,spring_previous,F
S00125,Algebra I,completed,fall_previous,B
S00125,English I,completed,fall_previous,A
S00125,Biology,completed,fall_previous,C
S00125,Geometry,completed,fall_previous,C
S00125,English II,failed_or_missing,spring_previous,F
S00125,World History,failed_or_missing,spring_previous,F
S00126,Algebra I,completed,summer_previous,D
S00126,English I,completed,fall_previous,B
S00126,Biology,completed,summer_previous,B
S00127,Algebra I,completed,summer_previous,B
S00127,English I,completed,fall_previous,D
S00127,Biology,completed,spring_previous,A
S00127,Geometry,completed,summer_previous,C
S00127,English II,completed,summer_previous,C
S00127,World History,completed,fall_previous,A
S00128,Algebra I,completed,fall_previous,B
S00128,English I,completed,spring_previous,D
S00128,Biology,completed,summer_previous,C
S00128,Geometry,completed,fall_previous,C
S00128,English II,completed,fall_previous,B
S00128,World History,completed,summer_previous,D
S00129,Algebra I,completed,spring_previous,B
S00129,English I,completed,spring_previous,C
S00129,Biology,completed,summer_previous,B
S00129,Geometry,completed,summer_previous,D
S00129,English II,completed,spring_previous,C
S00129,World History,completed,summer_previous,B
S00130,Algebra I,completed,fall_previous,D
S00130,English I,completed,summer_previous,C
S00130,Biology,completed,fall_previous,A
S00130,Geometry,completed,spring_previous,B
S00130,English II,completed,summer_previous,B
S00130,World History,completed,fall_previous,A
S00130,Algebra II,completed,fall_previous,B
S00130,English III,failed_or_missing,spring_previous,F
S00130,Chemistry,completed,spring_previous,D
S00130,U.S. History,completed,spring_previous,C
S00132,Algebra I,completed,summer_previous,B
S00132,English I,completed,spring_previous,C
S00132,Biology,completed,fall_previous,B
S00132,Geometry,completed,spring_previous,C
S00132,English II,completed,fall_previous,B
S00132,World History,completed,summer_previous,B
S00133,Algebra I,completed,fall_previous,C
S00133,English I,completed,spring_previous,B
S00133,Biology,completed,fall_previous,C
S00133,Geometry,failed_or_missing,spring_previous,F
S00133,English II,completed,fall_previous,B
S00133,World History,completed,fall_previous,C
S00133,Algebra II,completed,summer_previous,C
S00133,English III,completed,fall_previous,B
S00133,Chemistry,completed,summer_previous,D
S00133,U.S. History,completed,summer_previous,D
S00135,Algebra I,completed,summer_previous,B
S00135,English I,failed_or_missing,fall_previous,F
S00135,Biology,completed,summer_previous,C
S00135,Geometry,completed,summer_previous,C
S00135,English II,completed,spring_previous,D
S00135,World History,completed,spring_previous,D
S00136,Algebra I,completed,spring_previous,C
S00136,English I,completed,spring_previous,D
S00136,Biology,completed,fall_previous,A
S00136,Geometry,completed,summer_previous,A
S00136,English II,failed_or_missing,spring_previous,F
S00136,World History,failed_or_missing,spring_previous,F
S00137,Algebra I,completed,fall_previous,A
S00137,English I,completed,spring_previous,B
S00137,Biology,failed_or_missing,fall_previous,F
S00137,Geometry,completed,fall_previous,B
S00137,English II,completed,spring_previous,B
S00137,World History,completed,summer_previous,B
S00138,Algebra I,completed,fall_previous,C
S00138,English I,completed,summer_previous,C
S00138,Biology,completed,fall_previous,B
S00138,Geometry,completed,spring_previous,A
S00138,English II,completed,fall_previous,C
S00138,World History,completed,fall_previous,A
S00139,Algebra I,completed,spring_previous,C
S00139,English I,completed,fall_previous,C
S00139,Biology,completed,summer_previous,A
S00139,Geometry,completed,summer_previous,B
S00139,English II,completed,summer_previous,D
S00139,World History,completed,fall_previous,B
S00140,Algebra I,completed,spring_previous,C
S00140,English I,completed,fall_previous,B
S00140,Biology,completed,spring_previous,D
S00140,Geometry,completed,spring_previous,C
S00140,English II,completed,spring_previous,C
S00140,World History,completed,fall_previous,A
S00141,Algebra I,completed,fall_previous,B
S00141,English I,completed,summer_previous,A
S00141,Biology,completed,spring_previous,B
S00141,Geometry,completed,summer_previous,D
S00141,English II,completed,summer_previous,B
S00141,World History,completed,fall_previous,B
S00141,Algebra II,completed,summer_previous,B
S00141,English III,completed,summer_previous,B
S00141,Chemistry,completed,summer_previous,D
S00141,U.S. History,completed,summer_previous,C
S00142,Algebra I,completed,fall_previous,C
S00142,English I,completed,fall_previous,C
S00142,Biology,completed,fall_previous,C
S00142,Geometry,completed,spring_previous,B
S00142,English II,completed,spring_previous,B
S00142,World History,failed_or_missing,spring_previous,F
S00144,Algebra I,completed,spring_previous,B
S00144,English I,completed,spring_previous,C
S00144,Biology,completed,spring_previous,A
S00144,Geometry,completed,fall_previous,C
S00144,English II,failed_or_missing,fall_previous,F
S00144,World History,completed,spring_previous,B
S00144,Algebra II,completed,spring_previous,A
S00144,English III,completed,summer_previous,B
S00144,Chemistry,completed,spring_previous,C
S00144,U.S. History,completed,summer_previous,D
S00145,Algebra I,failed_or_missing,fall_previous,F
S00145,English I,completed,spring_previous,D
S00145,Biology,completed,summer_previous,C
S00148,Algebra I,completed,spring_previous,C
S00148,English I,completed,fall_previous,D
S00148,Biology,completed,spring_previous,B
S00149,Algebra I,completed,fall_previous,A
