student_id,course,violation_type,required_prerequisite,may_take_concurrently,summer_only,notes
S00020,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00020,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00021,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00021,Geometry,missing_prerequisite,Algebra I,no,no,Cannot take Geometry before Algebra I.
S00022,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00022,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00023,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00024,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00026,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00026,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00026,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00026,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00029,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00029,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00029,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00030,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00031,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00031,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00031,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00032,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00032,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00033,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00033,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00033,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00035,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00036,English II,missing_prerequisite,English I,no,no,English sequence must be in order.
S00037,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00037,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00037,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00038,Chemistry,missing_prerequisite,Biology,no,no,Chemistry follows Biology.
S00038,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00038,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00038,Geometry,missing_prerequisite,Algebra I,no,no,Cannot take Geometry before Algebra I.
S00038,English II,missing_prerequisite,English I,no,no,English sequence must be in order.
S00039,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00039,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00042,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00042,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00042,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00043,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00043,Geometry,missing_prerequisite,Algebra I,no,no,Cannot take Geometry before Algebra I.
S00043,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00043,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00044,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00044,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00044,English II,missing_prerequisite,English I,no,no,English sequence must be in order.
S00045,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00046,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00046,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00046,English II,missing_prerequisite,English I,no,no,English sequence must be in order.
S00047,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00047,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00048,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00048,English II,missing_prerequisite,English I,no,no,English sequence must be in order.
S00048,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00049,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00049,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00050,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00052,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00052,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00053,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00053,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00054,Chemistry,missing_prerequisite,Biology,no,no,Chemistry follows Biology.
S00054,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00056,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00057,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00058,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00058,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00058,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00059,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00059,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00059,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00059,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00059,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00060,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00061,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00062,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00063,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00063,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00063,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00064,Chemistry,missing_prerequisite,Biology,no,no,Chemistry follows Biology.
S00064,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00064,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00064,Geometry,missing_prerequisite,Algebra I,no,no,Cannot take Geometry before Algebra I.
S00065,Chemistry,missing_prerequisite,Biology,no,no,Chemistry follows Biology.
S00065,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00065,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00065,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00065,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00066,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00066,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00066,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00067,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00068,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00068,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00070,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00071,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00071,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00072,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00072,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00073,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00073,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00074,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00075,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00075,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00075,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00075,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00077,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00078,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00078,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00078,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00079,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00080,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00081,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00082,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00083,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00084,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00084,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00085,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00086,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00087,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00087,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00087,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00087,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00087,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00088,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00089,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00089,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00090,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00090,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00090,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00091,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00091,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00091,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00091,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00092,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00092,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00092,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00093,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00093,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00094,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00095,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00095,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00096,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00097,Chemistry,missing_prerequisite,Biology,no,no,Chemistry follows Biology.
S00097,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00098,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00098,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00098,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00099,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00099,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00099,English II,missing_prerequisite,English I,no,no,English sequence must be in order.
S00100,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00100,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00101,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00101,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00103,Chemistry,missing_prerequisite,Biology,no,no,Chemistry follows Biology.
S00103,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00103,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00104,Chemistry,missing_prerequisite,Biology,no,no,Chemistry follows Biology.
S00104,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00104,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00104,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00105,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00105,Geometry,missing_prerequisite,Algebra I,no,no,Cannot take Geometry before Algebra I.
S00106,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00107,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00107,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00107,English II,missing_prerequisite,English I,no,no,English sequence must be in order.
S00108,Chemistry,missing_prerequisite,Biology,no,no,Chemistry follows Biology.
S00108,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00109,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00109,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00110,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00111,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00111,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00112,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00112,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00114,Geometry,missing_prerequisite,Algebra I,no,no,Cannot take Geometry before Algebra I.
S00114,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00114,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00114,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00115,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00116,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00118,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00118,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00118,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00118,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00119,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00119,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00120,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00120,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00121,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00121,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00122,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00123,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00123,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00124,Chemistry,missing_prerequisite,Biology,no,no,Chemistry follows Biology.
S00124,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00124,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00125,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00126,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00126,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00126,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00127,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00127,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00128,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00128,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00128,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00129,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00131,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00131,English II,missing_prerequisite,English I,no,no,English sequence must be in order.
S00132,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00135,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00136,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00138,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00138,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00138,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00139,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00139,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00140,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00140,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00141,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00142,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00142,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00142,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00143,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00143,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00144,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00145,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00146,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00146,Geometry,missing_prerequisite,Algebra I,no,no,Cannot take Geometry before Algebra I.
S00146,English II,missing_prerequisite,English I,no,no,English sequence must be in order.
S00147,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00147,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00147,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00148,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00148,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00149,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00151,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00152,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00153,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00155,Chemistry,missing_prerequisite,Biology,no,no,Chemistry follows Biology.
S00155,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00156,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00158,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00159,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00160,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00160,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00161,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00161,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00161,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00162,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00162,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00163,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00164,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00165,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00166,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00166,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00166,Geometry,missing_prerequisite,Algebra I,no,no,Cannot take Geometry before Algebra I.
S00166,English II,missing_prerequisite,English I,no,no,English sequence must be in order.
S00167,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00169,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00170,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00170,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00171,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00173,Chemistry,missing_prerequisite,Biology,no,no,Chemistry follows Biology.
S00173,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00174,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00174,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00176,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00177,Chemistry,missing_prerequisite,Biology,no,no,Chemistry follows Biology.
S00177,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00178,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00179,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00180,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00180,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00180,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00181,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00181,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00181,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00182,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00183,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00184,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00185,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00185,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00186,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00188,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00189,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00189,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00189,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00189,English II,missing_prerequisite,English I,no,no,English sequence must be in order.
S00190,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00190,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00191,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00193,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00194,Chemistry,missing_prerequisite,Biology,no,no,Chemistry follows Biology.
S00194,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00194,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00195,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00195,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00197,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00198,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00198,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00198,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
