section_id,course,teacher_id,teacher_name,room_id,room_name,room_capacity,period,target_grade
SEC00093,Chemistry,T0115,Teacher_0115,R0158,Room_0158,32,8,12
SEC00094,Chemistry,T0175,Teacher_0175,R0153,Room_0153,28,5,10
SEC00095,Chemistry,T0205,Teacher_0205,R0119,Room_0119,35,3,12
SEC00096,Chemistry,T0161,Teacher_0161,R0134,Room_0134,28,4,9
SEC00097,Chemistry,T0019,Teacher_0019,R0183,Room_0183,32,6,10
SEC00098,Chemistry,T0019,Teacher_0019,R0037,Room_0037,24,6,12
SEC00099,Physics,T0146,Teacher_0146,R0142,Room_0142,24,7,9
SEC00100,Physics,T0171,Teacher_0171,R0042,Room_0042,30,1,9
SEC00101,Physics,T0228,Teacher_0228,R0151,Room_0151,24,5,9
SEC00102,Physics,T0212,Teacher_0212,R0124,Room_0124,30,6,12
SEC00103,Physics,T0085,Teacher_0085,R0130,Room_0130,32,2,12
SEC00104,Physics,T0003,Teacher_0003,R0033,Room_0033,30,4,9
SEC00105,Physics,T0074,Teacher_0074,R0055,Room_0055,35,6,12
SEC00106,Physics,T0137,Teacher_0137,R0013,Room_0013,28,3,9
SEC00107,Physics,T0044,Teacher_0044,R0092,Room_0092,30,7,10
SEC00108,Physics,T0092,Teacher_0092,R0040,Room_0040,35,8,12
SEC00109,Physics,T0203,Teacher_0203,R0007,Room_0007,30,1,10
SEC00110,Environmental Science,T0041,Teacher_0041,R0180,Room_0180,30,4,11
SEC00111,Environmental Science,T0024,Teacher_0024,R0011,Room_0011,28,1,9
SEC00112,Environmental Science,T0121,Teacher_0121,R0139,Room_0139,28,3,12
SEC00113,Environmental Science,T0009,Teacher_0009,R0003,Room_0003,32,7,12
SEC00114,Environmental Science,T0062,Teacher_0062,R0087,Room_0087,32,8,10
SEC00115,Environmental Science,T0127,Teacher_0127,R0012,Room_0012,24,5,11
SEC00116,Environmental Science,T0139,Teacher_0139,R0136,Room_0136,35,1,11
SEC00117,Environmental Science,T0067,Teacher_0067,R0004,Room_0004,35,4,9
SEC00118,Environmental Science,T0014,Teacher_0014,R0070,Room_0070,35,2,12
SEC00119,Environmental Science,T0239,Teacher_0239,R0075,Room_0075,30,2,9
SEC00120,Environmental Science,T0144,Teacher_0144,R0100,Room_0100,32,3,10
SEC00121,Environmental Science,T0004,Teacher_0004,R0081,Room_0081,35,7,12
SEC00122,Environmental Science,T0207,Teacher_0207,R0022,Room_0022,24,3,12
SEC00123,Environmental Science,T0047,Teacher_0047,R0163,Room_0163,30,5,9
SEC00124,English I,T0132,Teacher_0132,R0093,Room_0093,28,8,11
SEC00125,English I,T0073,Teacher_0073,R0003,Room_0003,32,1,9
SEC00126,English I,T0215,Teacher_0215,R0120,Room_0120,35,1,12
SEC00127,English I,T0019,Teacher_0019,R0159,Room_0159,35,8,12
SEC00128,English I,T0225,Teacher_0225,R0097,Room_0097,24,5,12
SEC00129,English I,T0145,Teacher_0145,R0103,Room_0103,30,1,10
SEC00130,English I,T0123,Teacher_0123,R0182,Room_0182,24,6,11
SEC00131,English I,T0062,Teacher_0062,R0055,Room_0055,35,2,9
SEC00132,English I,T0174,Teacher_0174,R0146,Room_0146,35,7,10
SEC00133,English I,T0147,Teacher_0147,R0054,Room_0054,35,1,11
SEC00134,English I,T0144,Teacher_0144,R0114,Room_0114,28,3,10
SEC00135,English I,T0187,Teacher_0187,R0157,Room_0157,30,8,12
SEC00136,English I,T0228,Teacher_0228,R0055,Room_0055,35,1,11
SEC00137,English I,T0239,Teacher_0239,R0152,Room_0152,32,5,12
SEC00138,English I,T0042,Teacher_0042,R0083,Room_0083,28,5,11
SEC00139,English I,T0160,Teacher_0160,R0150,Room_0150,28,7,12
SEC00140,English II,T0141,Teacher_0141,R0177,Room_0177,32,5,12
SEC00141,English II,T0107,Teacher_0107,R0139,Room_0139,28,8,11
SEC00142,English II,T0042,Teacher_0042,R0158,Room_0158,32,7,12
SEC00143,English II,T0118,Teacher_0118,R0010,Room_0010,28,4,9
SEC00144,English II,T0181,Teacher_0181,R0128,Room_0128,24,1,12
SEC00145,English II,T0252,Teacher_0252,R0174,Room_0174,30,2,11
SEC00146,English II,T0197,Teacher_0197,R0066,Room_0066,30,6,9
SEC00147,English II,T0001,Teacher_0001,R0131,Room_0131,24,2,10
SEC00148,English II,T0242,Teacher_0242,R0045,Room_0045,32,3,11
SEC00149,English II,T0093,Teacher_0093,R0134,Room_0134,28,5,11
SEC00150,English II,T0059,Teacher_0059,R0176,Room_0176,28,3,12
SEC00151,English II,T0160,Teacher_0160,R0127,Room_0127,32,4,11
SEC00152,English II,T0202,Teacher_0202,R0048,Room_0048,35,7,9
SEC00153,English III,T0144,Teacher_0144,R0161,Room_0161,28,2,10
SEC00154,English III,T0242,Teacher_0242,R0114,Room_0114,28,6,10
SEC00155,English III,T0141,Teacher_0141,R0153,Room_0153,28,7,9
SEC00156,English III,T0260,Teacher_0260,R0180,Room_0180,30,2,11
SEC00157,English III,T0007,Teacher_0007,R0129,Room_0129,32,3,11
SEC00158,English III,T0095,Teacher_0095,R0002,Room_0002,24,3,11
SEC00159,English III,T0169,Teacher_0169,R0068,Room_0068,24,8,12
SEC00160,English III,T0057,Teacher_0057,R0018,Room_0018,30,1,10
SEC00161,English III,T0105,Teacher_0105,R0138,Room_0138,32,3,12
SEC00162,English III,T0136,Teacher_0136,R0091,Room_0091,28,3,11
SEC00163,English III,T0027,Teacher_0027,R0010,Room_0010,28,1,12
SEC00164,English III,T0016,Teacher_0016,R0032,Room_0032,24,3,12
SEC00165,English III,T0097,Teacher_0097,R0121,Room_0121,32,5,11
SEC00166,English III,T0224,Teacher_0224,R0141,Room_0141,24,5,10
SEC00167,English III,T0048,Teacher_0048,R0087,Room_0087,32,5,11
SEC00168,English IV,T0101,Teacher_0101,R0178,Room_0178,32,5,11
SEC00169,English IV,T0022,Teacher_0022,R0046,Room_0046,24,3,11
SEC00170,English IV,T0038,Teacher_0038,R0123,Room_0123,30,4,11
SEC00171,English IV,T0017,Teacher_0017,R0119,Room_0119,35,6,9
SEC00172,English IV,T0106,Teacher_0106,R0049,Room_0049,24,8,12
SEC00173,English IV,T0157,Teacher_0157,R0176,Room_0176,28,1,10
SEC00174,English IV,T0059,Teacher_0059,R0142,Room_0142,24,5,9
SEC00175,English IV,T0185,Teacher_0185,R0116,Room_0116,24,6,12
SEC00176,English IV,T0064,Teacher_0064,R0173,Room_0173,24,8,10
SEC00177,English IV,T0245,Teacher_0245,R0125,Room_0125,24,2,9
SEC00178,English IV,T0006,Teacher_0006,R0080,Room_0080,28,5,9
SEC00179,English IV,T0042,Teacher_0042,R0007,Room_0007,30,1,9
SEC00180,English IV,T0185,Teacher_0185,R0090,Room_0090,32,2,9
SEC00181,English IV,T0178,Teacher_0178,R0058,Room_0058,30,2,11
SEC00182,English IV,T0051,Teacher_0051,R0133,Room_0133,35,5,11
SEC00183,English IV,T0213,Teacher_0213,R0164,Room_0164,32,5,11
SEC00184,English IV,T0100,Teacher_0100,R0093,Room_0093,28,6,12
SEC00185,English IV,T0146,Teacher_0146,R0003,Room_0003,32,2,10
SEC00186,World History,T0184,Teacher_0184,R0042,Room_0042,30,3,10
SEC00187,World History,T0256,Teacher_0256,R0102,Room_0102,28,7,10
SEC00188,World History,T0181,Teacher_0181,R0002,Room_0002,24,7,10
SEC00189,World History,T0015,Teacher_0015,R0179,Room_0179,32,5,10
SEC00190,World History,T0080,Teacher_0080,R0168,Room_0168,24,3,10
SEC00191,World History,T0135,Teacher_0135,R0185,Room_0185,35,8,10
SEC00192,World History,T0048,Teacher_0048,R0012,Room_0012,24,1,10
SEC00193,World History,T0161,Teacher_0161,R0009,Room_0009,35,8,9
SEC00194,World History,T0180,Teacher_0180,R0054,Room_0054,35,5,9
SEC00195,World History,T0212,Teacher_0212,R0082,Room_0082,35,1,9
SEC00196,World History,T0086,Teacher_0086,R0080,Room_0080,28,6,9
SEC00197,World History,T0020,Teacher_0020,R0031,Room_0031,30,1,12
SEC00198,World History,T0091,Teacher_0091,R0077,Room_0077,30,2,10
SEC00199,World History,T0053,Teacher_0053,R0002,Room_0002,24,4,9
SEC00200,World History,T0072,Teacher_0072,R0155,Room_0155,28,2,11
SEC00201,World History,T0233,Teacher_0233,R0118,Room_0118,35,2,12
SEC00202,U.S. History,T0147,Teacher_0147,R0037,Room_0037,24,7,10
SEC00203,U.S. History,T0158,Teacher_0158,R0144,Room_0144,24,8,12
SEC00204,U.S. History,T0210,Teacher_0210,R0137,Room_0137,28,6,12
SEC00205,U.S. History,T0140,Teacher_0140,R0175,Room_0175,32,1,10
SEC00206,U.S. History,T0040,Teacher_0040,R0100,Room_0100,32,1,9
SEC00207,U.S. History,T0244,Teacher_0244,R0144,Room_0144,24,1,10
SEC00208,U.S. History,T0076,Teacher_0076,R0098,Room_0098,32,7,9
SEC00209,U.S. History,T0107,Teacher_0107,R0150,Room_0150,28,6,10
SEC00210,U.S. History,T0040,Teacher_0040,R0069,Room_0069,28,8,12
SEC00211,U.S. History,T0143,Teacher_0143,R0036,Room_0036,24,3,12
SEC00212,U.S. History,T0249,Teacher_0249,R0003,Room_0003,32,6,9
SEC00213,U.S. History,T0102,Teacher_0102,R0057,Room_0057,35,7,10
SEC00214,U.S. History,T0234,Teacher_0234,R0032,Room_0032,24,2,11
SEC00215,U.S. History,T0069,Teacher_0069,R0097,Room_0097,24,5,9
SEC00216,Government,T0063,Teacher_0063,R0067,Room_0067,32,8,10
SEC00217,Government,T0161,Teacher_0161,R0140,Room_0140,24,5,9
SEC00218,Government,T0008,Teacher_0008,R0038,Room_0038,30,5,9
SEC00219,Government,T0250,Teacher_0250,R0022,Room_0022,24,1,10
SEC00220,Government,T0156,Teacher_0156,R0040,Room_0040,35,7,12
SEC00221,Government,T0229,Teacher_0229,R0111,Room_0111,28,6,10
SEC00222,Government,T0236,Teacher_0236,R0011,Room_0011,28,8,11
SEC00223,Government,T0013,Teacher_0013,R0108,Room_0108,28,5,12
SEC00224,Government,T0072,Teacher_0072,R0012,Room_0012,24,7,12
SEC00225,Government,T0079,Teacher_0079,R0049,Room_0049,24,4,10
SEC00226,Government,T0036,Teacher_0036,R0117,Room_0117,32,1,11
SEC00227,Government,T0076,Teacher_0076,R0157,Room_0157,30,4,11
SEC00228,Government,T0123,Teacher_0123,R0065,Room_0065,28,5,10
SEC00229,Government,T0060,Teacher_0060,R0048,Room_0048,35,6,12
SEC00230,Economics,T0071,Teacher_0071,R0015,Room_0015,30,6,9
SEC00231,Economics,T0184,Teacher_0184,R0068,Room_0068,24,4,11
SEC00232,Economics,T0181,Teacher_0181,R0065,Room_0065,28,7,9
SEC00233,Economics,T0219,Teacher_0219,R0150,Room_0150,28,7,12
SEC00234,Economics,T0036,Teacher_0036,R0051,Room_0051,32,2,9
SEC00235,Economics,T0051,Teacher_0051,R0089,Room_0089,24,3,12
SEC00236,Economics,T0150,Teacher_0150,R0112,Room_0112,24,1,11
SEC00237,Economics,T0069,Teacher_0069,R0043,Room_0043,32,3,9
SEC00238,Economics,T0023,Teacher_0023,R0079,Room_0079,35,6,11
SEC00239,Economics,T0209,Teacher_0209,R0077,Room_0077,30,4,10
SEC00240,Economics,T0030,Teacher_0030,R0154,Room_0154,30,6,11
SEC00241,Economics,T0226,Teacher_0226,R0093,Room_0093,28,5,11
SEC00242,Economics,T0241,Teacher_0241,R0136,Room_0136,35,8,9
SEC00243,Economics,T0030,Teacher_0030,R0024,Room_0024,28,3,9
SEC00244,Economics,T0246,Teacher_0246,R0137,Room_0137,28,5,12
SEC00245,Spanish I,T0036,Teacher_0036,R0152,Room_0152,32,7,11
SEC00246,Spanish I,T0149,Teacher_0149,R0064,Room_0064,30,7,12
SEC00247,Spanish I,T0232,Teacher_0232,R0185,Room_0185,35,7,10
SEC00248,Spanish I,T0019,Teacher_0019,R0069,Room_0069,28,5,11
SEC00249,Spanish I,T0091,Teacher_0091,R0089,Room_0089,24,5,10
SEC00250,Spanish I,T0254,Teacher_0254,R0033,Room_0033,30,2,12
SEC00251,Spanish I,T0161,Teacher_0161,R0184,Room_0184,28,3,9
SEC00252,Spanish I,T0026,Teacher_0026,R0039,Room_0039,28,7,12
SEC00253,Spanish I,T0119,Teacher_0119,R0097,Room_0097,24,2,9
SEC00254,Spanish I,T0145,Teacher_0145,R0178,Room_0178,32,8,12
SEC00255,Spanish I,T0016,Teacher_0016,R0053,Room_0053,35,8,12
SEC00256,Spanish I,T0208,Teacher_0208,R0127,Room_0127,32,5,11
SEC00257,Spanish I,T0194,Teacher_0194,R0122,Room_0122,24,5,11
SEC00258,Spanish I,T0057,Teacher_0057,R0174,Room_0174,30,6,10
SEC00259,Spanish I,T0006,Teacher_0006,R0124,Room_0124,30,3,11
SEC00260,Spanish I,T0003,Teacher_0003,R0086,Room_0086,30,4,11
SEC00261,Spanish I,T0193,Teacher_0193,R0089,Room_0089,24,3,11
SEC00262,Spanish II,T0259,Teacher_0259,R0111,Room_0111,28,3,10
SEC00263,Spanish II,T0151,Teacher_0151,R0063,Room_0063,24,7,9
SEC00264,Spanish II,T0113,Teacher_0113,R0047,Room_0047,30,4,10
SEC00265,Spanish II,T0228,Teacher_0228,R0124,Room_0124,30,4,12
SEC00266,Spanish II,T0218,Teacher_0218,R0092,Room_0092,30,5,11
SEC00267,Spanish II,T0234,Teacher_0234,R0080,Room_0080,28,5,12
SEC00268,Spanish II,T0237,Teacher_0237,R0042,Room_0042,30,4,10
SEC00269,Spanish II,T0017,Teacher_0017,R0167,Room_0167,28,8,12
SEC00270,Spanish II,T0087,Teacher_0087,R0176,Room_0176,28,1,9
SEC00271,Spanish II,T0247,Teacher_0247,R0007,Room_0007,30,3,11
SEC00272,Spanish II,T0012,Teacher_0012,R0054,Room_0054,35,1,9
SEC00273,Spanish II,T0065,Teacher_0065,R0091,Room_0091,28,3,12
SEC00274,Spanish II,T0141,Teacher_0141,R0040,Room_0040,35,1,9
SEC00275,Spanish II,T0057,Teacher_0057,R0092,Room_0092,30,4,10
SEC00276,Spanish II,T0144,Teacher_0144,R0140,Room_0140,24,4,11
SEC00277,French I,T0054,Teacher_0054,R0150,Room_0150,28,7,9
SEC00278,French I,T0085,Teacher_0085,R0160,Room_0160,30,1,9
SEC00279,French I,T0217,Teacher_0217,R0183,Room_0183,32,2,10
SEC00280,French I,T0157,Teacher_0157,R0177,Room_0177,32,8,12
SEC00281,French I,T0048,Teacher_0048,R0013,Room_0013,28,6,11
SEC00282,French I,T0007,Teacher_0007,R0057,Room_0057,35,1,12
SEC00283,French I,T0078,Teacher_0078,R0080,Room_0080,28,5,9
SEC00284,French I,T0205,Teacher_0205,R0154,Room_0154,30,7,12
SEC00285,French I,T0138,Teacher_0138,R0118,Room_0118,35,3,11
SEC00286,French I,T0210,Teacher_0210,R0025,Room_0025,24,3,9
SEC00287,French I,T0185,Teacher_0185,R0177,Room_0177,32,2,12
SEC00288,French I,T0081,Teacher_0081,R0067,Room_0067,32,1,11
SEC00289,French I,T0223,Teacher_0223,R0114,Room_0114,28,4,11
SEC00290,French I,T0161,Teacher_0161,R0089,Room_0089,24,6,9
SEC00291,French I,T0197,Teacher_0197,R0155,Room_0155,28,8,10
SEC00292,French I,T0235,Teacher_0235,R0100,Room_0100,32,4,11
SEC00293,French I,T0185,Teacher_0185,R0044,Room_0044,32,6,11
SEC00294,Computer Science,T0001,Teacher_0001,R0167,Room_0167,28,7,9
SEC00295,Computer Science,T0198,Teacher_0198,R0175,Room_0175,32,6,11
SEC00296,Computer Science,T0095,Teacher_0095,R0013,Room_0013,28,1,9
SEC00297,Computer Science,T0257,Teacher_0257,R0069,Room_0069,28,7,11
SEC00298,Computer Science,T0132,Teacher_0132,R0033,Room_0033,30,2,9
SEC00299,Computer Science,T0159,Teacher_0159,R0086,Room_0086,30,1,11
SEC00300,Computer Science,T0041,Teacher_0041,R0002,Room_0002,24,2,11
SEC00301,Computer Science,T0088,Teacher_0088,R0008,Room_0008,35,4,12
SEC00302,Computer Science,T0188,Teacher_0188,R0082,Room_0082,35,2,11
SEC00303,Computer Science,T0007,Teacher_0007,R0113,Room_0113,35,3,11
SEC00304,Computer Science,T0167,Teacher_0167,R0117,Room_0117,32,1,9
SEC00305,Computer Science,T0260,Teacher_0260,R0043,Room_0043,32,4,9
SEC00306,Art,T0116,Teacher_0116,R0009,Room_0009,35,3,10
SEC00307,Art,T0060,Teacher_0060,R0173,Room_0173,24,7,10
SEC00308,Art,T0042,Teacher_0042,R0022,Room_0022,24,8,12
SEC00309,Art,T0088,Teacher_0088,R0092,Room_0092,30,8,12
SEC00310,Art,T0073,Teacher_0073,R0008,Room_0008,35,5,9
SEC00311,Art,T0088,Teacher_0088,R0015,Room_0015,30,3,10
SEC00312,Art,T0093,Teacher_0093,R0159,Room_0159,35,5,10
SEC00313,Art,T0067,Teacher_0067,R0146,Room_0146,35,4,12
SEC00314,Band,T0097,Teacher_0097,R0060,Room_0060,35,1,10
SEC00315,Band,T0236,Teacher_0236,R0072,Room_0072,28,7,11
SEC00316,Band,T0022,Teacher_0022,R0033,Room_0033,30,6,10
SEC00317,Band,T0142,Teacher_0142,R0172,Room_0172,28,3,12
SEC00318,Band,T0093,Teacher_0093,R0137,Room_0137,28,5,11
SEC00319,Band,T0079,Teacher_0079,R0070,Room_0070,35,4,9
SEC00320,Band,T0225,Teacher_0225,R0118,Room_0118,35,4,11
SEC00321,Band,T0167,Teacher_0167,R0112,Room_0112,24,7,12
SEC00322,Theater,T0245,Teacher_0245,R0143,Room_0143,30,4,10
SEC00323,Theater,T0208,Teacher_0208,R0103,Room_0103,30,8,10
SEC00324,Theater,T0239,Teacher_0239,R0078,Room_0078,32,6,11
SEC00325,Theater,T0134,Teacher_0134,R0076,Room_0076,35,8,11
SEC00326,Theater,T0204,Teacher_0204,R0048,Room_0048,35,7,11
SEC00327,Theater,T0067,Teacher_0067,R0112,Room_0112,24,3,12
SEC00328,Theater,T0257,Teacher_0257,R0005,Room_0005,24,5,9
SEC00329,Theater,T0115,Teacher_0115,R0091,Room_0091,28,8,9
SEC00330,Theater,T0021,Teacher_0021,R0002,Room_0002,24,5,11
SEC00331,Physical Education,T0038,Teacher_0038,R0124,Room_0124,30,3,10
SEC00332,Physical Education,T0068,Teacher_0068,R0021,Room_0021,30,1,9
SEC00333,Physical Education,T0247,Teacher_0247,R0080,Room_0080,28,2,11
SEC00334,Physical Education,T0161,Teacher_0161,R0049,Room_0049,24,8,10
SEC00335,Physical Education,T0009,Teacher_0009,R0130,Room_0130,32,3,11
SEC00336,Physical Education,T0004,Teacher_0004,R0181,Room_0181,24,2,10
SEC00337,Physical Education,T0158,Teacher_0158,R0051,Room_0051,32,4,12
SEC00338,Physical Education,T0122,Teacher_0122,R0042,Room_0042,30,5,12
SEC00339,Physical Education,T0152,Teacher_0152,R0165,Room_0165,28,6,10
SEC00340,Physical Education,T0210,Teacher_0210,R0024,Room_0024,28,8,9
SEC00341,Physical Education,T0237,Teacher_0237,R0073,Room_0073,30,4,9
SEC00342,Physical Education,T0100,Teacher_0100,R0168,Room_0168,24,5,11
SEC00343,Physical Education,T0024,Teacher_0024,R0034,Room_0034,28,8,10
SEC00344,Physical Education,T0244,Teacher_0244,R0163,Room_0163,30,2,12
SEC00345,Physical Education,T0161,Teacher_0161,R0012,Room_0012,24,8,12
SEC00346,Physical Education,T0162,Teacher_0162,R0179,Room_0179,32,2,9
